listing_id,review_id,date,reviewer_id
2595,17857,2009-11-21,50679
2595,19176,2009-12-05,53267
2595,19760,2009-12-10,38960
2595,34320,2010-04-09,71130
2595,46312,2010-05-25,117113
2595,1238204,2012-05-07,1783688
2595,1293632,2012-05-17,1870771
2595,2022498,2012-08-18,2124102
2595,4682989,2013-05-20,496053
2595,13193832,2014-05-21,13685934
2595,15515108,2014-07-10,10781357
2595,20372242,2014-09-28,4212558
2595,20937971,2014-10-07,13460520
2595,21464102,2014-10-18,16584002
2595,28794060,2015-03-30,27436102
2595,30430122,2015-04-21,6429364
2595,32532759,2015-05-19,12146524
2595,47785650,2015-09-21,12885233
2595,48764464,2015-09-28,18636130
2595,69547296,2016-04-11,16512817
2595,173048703,2017-07-22,134977148
2595,194307810,2017-09-16,81450805
2595,204069717,2017-10-16,11918986
2595,207635137,2017-10-29,28067322
2595,209179534,2017-11-04,18840128
2595,216355494,2017-12-03,2888785
2595,217981296,2017-12-10,2548115
2595,223104380,2017-12-31,110636080
2595,223658531,2018-01-01,66056138
2595,258747537,2018-04-29,128182033
2595,265850774,2018-05-18,11496712
2595,269561173,2018-05-27,76998885
2595,273575493,2018-06-06,115721479
2595,283276097,2018-06-29,51923495
2595,328954829,2018-09-27,203936538
2595,331029784,2018-10-01,174975601
2595,334253940,2018-10-08,56872516
2595,339394996,2018-10-21,121426385
2595,345108312,2018-11-04,22065057
2595,348600047,2018-11-14,30834468
2595,354948875,2018-12-02,92312766
2595,359337030,2018-12-16,126136892
2595,366477703,2019-01-02,165354250
2595,449815873,2019-05-07,168460710
2595,456489109,2019-05-21,119626931
2595,487972917,2019-07-14,60181725
2595,514642186,2019-08-21,33952280
2595,559642705,2019-11-04,61580757
3109,123127969,2016-12-27,12389804
3109,123274144,2016-12-28,67553494
3109,207127433,2017-10-28,51636494
3109,208779822,2017-11-03,4142888
3109,234257457,2018-02-12,3539452
3109,295840159,2018-07-24,7415343
3109,297207211,2018-07-27,202957965
3109,360052439,2018-12-19,13723090
3109,553502638,2019-10-24,21159216
5178,2091,2009-05-06,8443
5178,3015,2009-05-23,15642
5178,4019,2009-06-14,19644
5178,5138,2009-07-06,18347
5178,8211,2009-08-24,32936
5178,8365,2009-08-27,29676
5178,12867,2009-10-09,31242
5178,16180,2009-11-04,23681
5178,19212,2009-12-05,56221
5178,19726,2009-12-09,57415
5178,23551,2010-01-07,64742
5178,24797,2010-01-24,66519
5178,29344,2010-03-14,35310
5178,33818,2010-04-06,37224
5178,34688,2010-04-10,103590
5178,35310,2010-04-13,49565
5178,37168,2010-04-22,78096
5178,38906,2010-04-30,100740
5178,50984,2010-06-08,104290
5178,51656,2010-06-10,105878
5178,54538,2010-06-18,409
5178,69674,2010-07-27,106633
5178,73918,2010-08-05,122207
5178,80630,2010-08-18,118953
5178,83832,2010-08-24,157885
5178,89441,2010-09-03,144158
5178,94059,2010-09-10,98356
5178,103749,2010-09-24,121514
5178,113348,2010-10-07,83244
5178,115787,2010-10-11,116623
5178,122987,2010-10-20,156379
5178,127406,2010-10-26,159969
5178,136569,2010-11-10,125337
5178,143980,2010-11-24,225066
5178,144935,2010-11-26,294291
5178,153602,2010-12-14,182487
5178,154880,2010-12-17,172204
5178,155771,2010-12-19,11327
5178,157407,2010-12-23,244211
5178,164743,2011-01-04,139152
5178,167058,2011-01-06,321907
5178,169667,2011-01-12,125217
5178,170545,2011-01-14,203342
5178,170955,2011-01-16,294927
5178,176140,2011-01-30,93888
5178,178104,2011-02-04,329867
5178,179393,2011-02-07,211891
5178,188631,2011-02-26,285023
5178,190162,2011-02-28,55455
5178,194417,2011-03-08,311594
5178,197093,2011-03-12,269438
5178,198656,2011-03-14,274106
5178,202029,2011-03-18,351895
5178,216385,2011-04-04,264875
5178,219154,2011-04-06,438558
